"4708","Parking Gare nord","51 Boulevard de Stalingrad","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé payant","Nantes Métropole","137","7j/7j 24h/24h","Collectif abrité","EFFIA","02 40 99 48 48","[ 47.2170735517857 , -1.54387627571301]"
"4710","Véloparc Saint Jean de Boiseau","33 rue de la Croix Truin","44640","44166","Saint-Jean-de-Boiseau","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","6","7j/7j 24h/24h","Consigne Cocoon portes coulissantes","SEMITAN","02 40 99 48 48","[ 47.191334967477 , -1.71207075238266]"
"4711","Véloparc Souillarderie","Route de Sainte Luce","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne","SEMITAN","02 40 99 48 48","[ 47.237987363011 , -1.51609083688607]"
"4712","Véloparc Bout des Pavés","42 Boulevard de la Chauvinière","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","6","7j/7j 24h/24h","Consigne Cocoon porte battante","SEMITAN","02 40 99 48 48","[ 47.253182197723 , -1.57599665948204]"
"4713","Véloparc Pont Rousseau","Rue de la Gare","44400","44143","Rezé","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","8","7j/7j 24h/24h","Consigne Cocoon","SEMITAN","02 40 99 48 48","[ 47.1931315196049 , -1.54879737115783]"
"4714","Véloparc Durantière","33 Rue de la Durantière","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne Cocoon","SEMITAN","02 40 99 48 48","[ 47.2166660471335 , -1.55423648300399]"
"4715","Véloparc Coueron Even","Place Charles De Gaulle","44220","44047","Couëron","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne Cocoon portes coulissantes","SEMITAN","02 40 99 48 48","[ 47.2120549829586 , -1.72697209799204]"
"4716","Véloparc Trentemoult Roquios","1 Allée Claude Choëmet","44400","44143","Rezé","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","8","7j/7j 24h/24h","Collectif abrité","Port autonome","02 40 99 48 48","[ 47.1952588126139 , -1.57811263464004]"
"4717","Véloparc Frachon","Boulevard Salvador Allende","44800","44162","Saint-Herblain","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","10","7j/7j 24h/24h","Collectif abrité","Pôle Loire Chezine","02 40 99 48 48","[ 47.2188916218828 , -1.62028386310934]"
"4718","Véloparc Neruda","Boulevard Salvador Allende","44800","44162","Saint-Herblain","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","10","7j/7j 24h/24h","Collectif abrité","Pôle Loire Chezine","02 40 99 48 48","[ 47.2178584023397 , -1.61402386691673]"
"4721","Véloparc Gare de Bouaye","Allée Louis Armand","44830","44018","Bouaye","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","12","7j/7j 24h/24h","Collectif abrité","SEMITAN","02 40 99 48 48","[ 47.1381893192191 , -1.68120547666772]"
"4723","Véloparc Gare de Thouaré","Rue des Ponts","44470","44204","Thouaré-sur-Loire","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","24","7j/7j 24h/24h","Collectif abrité","SNCF ","02 40 99 48 48","[ 47.2649901177372 , -1.44112177288341]"
"4724","Véloparc Gare de Vertou","Impasse de la Gare","44120","44215","Vertou","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","16","7j/7j 24h/24h","Collectif abrité","SNCF ","02 40 99 48 48","[ 47.1858629512884 , -1.47804194830145]"
"4725","Véloparc Pas enchantés","16 Rue du Docteur Paul Michaux ","44240","44190","Saint-Sébastien-sur-Loire","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","8","7j/7j 24h/24h","Collectif","SNCF ","02 40 99 48 48","[ 47.2066731216882 , -1.51061577952136]"
"4727","Véloparc Gare de Chantenay","Rue de la Gare de Chantenay","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","8","7j/7j 24h/24h","Collectif abrité","SNCF ","02 40 99 48 48","[ 47.1972832989515 , -1.5946085923873]"
"4728","Parking Gare sud 4","Rue Marcel Paul","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé gratuit","Nantes Métropole","50","7j/7j 24h/24h","Collectif abrité","EFFIA","02 40 99 48 48","[ 47.2150964997798 , -1.53799063362981]"
"4729","Véloparc Le Cardo","1 Esplanade du Cardo","44700","44114","Orvault","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","8","7j/7j 24h/24h","Collectif abrité","SEMITAN","02 40 99 48 48","[ 47.2623914481067 , -1.58440436807908]"
"4730","Véloparc Mitterrand","Boulevard Salvador Allende","44800","44162","Saint-Herblain","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","14","7j/7j 24h/24h","Collectif abrité","SEMITAN","02 40 99 48 48","[ 47.2219437314391 , -1.63953854445429]"
"4731","Parking Cité des Congrès","3 Rue de Valmy ","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé gratuit","Nantes Métropole","29","7j/7j 24h/24h","Collectif abrité","NGE","02 40 99 48 48","[ 47.2136446319759 , -1.54408370271971]"
"4732","Parking Commerce","17 Place du Commerce ","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé payant","Nantes Métropole","72","7j/7j 24h/24h","Collectif abrité","NGE","02 40 99 48 48","[ 47.2133194916669 , -1.55780979961526]"
"4733","Parking Decré / Bouffay","18 Rue du Moulin ","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé payant","Nantes Métropole","68","7j/7j 24h/24h","Collectif abrité","NGE","02 40 99 48 48","[ 47.2166660471335 , -1.55423648300399]"
"4734","Parking Foch Cathédrale","6 Rue Sully","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé payant","Nantes Métropole","67","7j/7j 24h/24h","Collectif abrité","NGE","02 40 99 48 48","[ 47.2210180926155 , -1.55126379441265]"
"4735","Parking Graslin","2 Rue Louis Préaubert","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé payant","Nantes Métropole","27","7j/7j 24h/24h","Collectif abrité","NGE","02 40 99 48 48","[ 47.2145970255012 , -1.56229634065764]"
"4736","Parking les Machines","49 Rue la Tour d'Auvergne ","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé gratuit","Nantes Métropole","64","7j/7j 24h/24h","Collectif abrité","NGE","02 40 99 48 48","[ 47.205825786732 , -1.56258620545115]"
"4737","Parking Médiathèque","37 Quai de la Fosse","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé payant","Nantes Métropole","81","7j/7j 24h/24h","Collectif abrité","NGE","02 40 99 48 48","[ 47.210842495643 , -1.56230755879017]"
"4738","Parking Talensac","9 Rue Le Nôtre ","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé gratuit","Nantes Métropole","43","7j/7j 24h/24h","Collectif abrité","NGE","02 40 99 48 48","[ 47.2199027335362 , -1.55769331414046]"
"4739","Parking Bretagne","2 Rue de l'Abreuvoir","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé gratuit","Nantes Métropole","85","7j/7j 24h/24h","Collectif abrité","NGE","02 40 99 48 48","[ 47.2178042739017 , -1.55831594842633]"
"4740","Véloparc Haluchère Nord","Rue de la Petite Baratte","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","24","7j/7j 24h/24h","Collectif abrité","SEMITAN","02 40 99 48 48","[ 47.2498994278469 , -1.523250285531]"
"4741","Véloparc Haluchère Sud","Rue du Ranzay","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé gratuit","Nantes Métropole","18","7j/7j 24h/24h","Collectif abrité","SEMITAN","02 40 99 48 48","[ 47.248436372971 , -1.52254894866165]"
"4742","Véloparc Ranzay","Rue du Port Durand","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","24","7j/7j 24h/24h","Collectif abrité","SEMITAN","02 40 99 48 48","[ 47.2530662054207 , -1.53019926826248]"
"4743","Véloparc Marcel Paul","73 Boulevard Marcel Paul","44800","44162","Saint-Herblain","Equipement vélo","Stationnement","Accès contrôlé gratuit","Nantes Métropole","24","7j/7j 24h/24h","Collectif abrité","SEMITAN","02 40 99 48 48","[ 47.2457700165883 , -1.61752447407688]"
"4746","Véloparc Corbinerie","123 Rue Ernest Sauvestre","44400","44143","Rezé","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","6","7j/7j 24h/24h","Consigne Cocoon","SEMITAN","02 40 99 48 48","[ 47.1617797578025 , -1.54191714944145]"
"4747","Véloparc Rouet","Rue des Papillons","44840","44198","Les Sorinières","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne","SEMITAN","02 40 99 48 48","[ 47.1477807735595 , -1.52097760489635]"
"4748","Véloparc Rue des prés","4 Rue des Prés","44830","44024","Brains","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","2","7j/7j 24h/24h","Consigne Cocoon portes coulissantes","SEMITAN","02 40 99 48 48","[ 47.1694366320472 , -1.7229320806397]"
"4750","Parking Feydeau","Rue Léon Maître","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé payant","Nantes Métropole","20","7j/7j 24h/24h","Collectif abrité","NGE","02 40 99 48 48","[ 47.2138902126219 , -1.55269470271099]"
"4766","Véloparc Moulin Boisseau","Boulevard de l'Epinay","44470","44026","Carquefou","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne Cocoon 2,0 grise","SEMITAN","02 40 99 48 48","[ 47.2881528572141 , -1.48386529581654]"
"4767","Véloparc Rue de Chateaubriand","Rue François René de Chateaubriand ","44470","44026","Carquefou","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","6","7j/7j 24h/24h","Consigne Cocoon 2,0 grise","SEMITAN","02 40 99 48 48","[ 47.3040869710353 , -1.48519147140021]"
"4768","Véloparc Ecole centrale / Sup de co","1 Rue de la Noë","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","6","7j/7j 24h/24h","Consigne Cocoon 2,0 grise","SEMITAN","02 40 99 48 48","[ 47.2483227695488 , -1.55141568760083]"
"4769","Véloparc Combattants d'Indochine","Route de Saint Joseph","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne Cocoon 2,0 grise","SEMITAN","02 40 99 48 48","[ 47.2425404815194 , -1.53388785527704]"
"4770","Véloparc Keren","Rue de Keren","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne Cocoon 2,0 grise","SEMITAN","02 40 99 48 48","[ 47.244833673166 , -1.53286211575202]"
"4802","Véloparc Embellie","20 Allée de l'Embellie","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","3","7j/7j 24h/24h","Consigne Cubike grise","SEMITAN","02 40 99 48 48","[ 47.2676809519137 , -1.51630018184518]"
"4803","Véloparc Le Cardo","1 Esplanade du Cardo","44700","44114","Orvault","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","3","7j/7j 24h/24h","Consigne Cubike grise","SEMITAN","02 40 99 48 48","[ 47.2621363109266 , -1.58426843381693]"
"4804","Véloparc Chêne des Anglais","3 Rue Eugène Thomas","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne Cubike grise","SEMITAN","02 40 99 48 48","[ 47.2178042739017 , -1.55831594842633]"
"4805","Véloparc Tertre","Boulevard Salvador Allende","44800","44162","Saint-Herblain","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","10","7j/7j 24h/24h","Collectif abrité","Pôle Loire Chezine","02 40 99 48 48","[ 47.2142903818313 , -1.60795751156494]"
"4806","Véloparc Place Viarme","Place Viarme","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","3","7j/7j 24h/24h","Consigne Cubike verte","SEMITAN","02 40 99 48 48","[ 47.221443575082 , -1.56299414711686]"
"4808","Véloparc Gare maritime","Rue Meuris","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","6","7j/7j 24h/24h","Consigne Cocoon 2,0 grise","SEMITAN","02 40 99 48 48","[ 47.2073374547779 , -1.57259271566447]"
"4809","Véloparc Terminus C5","Boulevard des Antilles","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","5","7j/7j 24h/24h","Consigne Cubike marron","SEMITAN","02 40 99 48 48","[ 47.2030346638934 , -1.57105494366]"
"4810","Véloparc Nefs","72 Boulevard de la Prairie au Duc ","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne Cubike marron","SEMITAN","02 40 99 48 48","[ 47.2040613240693 , -1.56585693402247]"
"4811","Véloparc République","Place de la République","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","5","7j/7j 24h/24h","Consigne Cubike marron","SEMITAN","02 40 99 48 48","[ 47.2056044923768 , -1.55434334141033]"
"4812","Véloparc Estuaire","Boulevard de l'Estuaire","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","2","7j/7j 24h/24h","Consigne Cubike marron","SEMITAN","02 40 99 48 48","[ 47.20462479399 , -1.55362637412417]"
"4813","Véloparc Rondeau","Rue Gaëtan Rondeau","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","5","7j/7j 24h/24h","Consigne Cubike marron","SEMITAN","02 40 99 48 48","[ 47.2133194916669 , -1.55780979961526]"
"4814","Véloparc Pompidou","9 Boulevard Georges Pompidou","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","3","7j/7j 24h/24h","Consigne Cubike marron","SEMITAN","02 40 99 48 48","[ 47.2095692412206 , -1.527052226371]"
"4816","Véloparc La Chapelle Centre","Rue de l'Erdre","44240","44035","La-Chapelle-sur-Erdre","Equipement vélo","Stationnement","Accès contrôlé gratuit","Nantes Métropole","32","7j/7j 24h/24h","Collectif abrité","SNCF ","02 40 99 48 48","[ 47.2972769023897 , -1.54799668373113]"
"4817","Véloparc La Chapelle Aulnay","Avenue Gandonnière","44240","44035","La-Chapelle-sur-Erdre","Equipement vélo","Stationnement","Accès contrôlé gratuit","Nantes Métropole","40","7j/7j 24h/24h","Collectif abrité","SNCF ","02 40 99 48 48","[ 47.3061824830704 , -1.54358501452753]"
"4818","Véloparc La Montagne Pompiers","Rue de la Cruaudière","44640","44166","Saint-Jean-de-Boiseau","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne Cocoon 2,0 grise","SEMITAN","02 40 99 48 48","[ 47.1919519898532 , -1.69670317399335]"
"4963","Véloparc Ragon","Rue Ernest Sauvestre","44400","44143","Rezé","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","10","7j/7j 24h/24h","Consigne Cocoon","SEMITAN","02 40 99 48 48","[ 47.1653707596734 , -1.54222051843371]"
"4968","Véloparc Rue du Prieuré","2G Avenue du Onze Novembre","44640","44166","Saint-Jean-de-Boiseau","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne","SEMITAN","02 40 99 48 48","[ 47.195661223544 , -1.72505654542723]"
"4973","Véloparc P+R Prairie de Mauves","Boulevard Prairie de Mauves","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","6","7j/7j 24h/24h","Consigne Cubike","SEMITAN","02 40 99 48 48","[ 47.2201417730106 , -1.51637273230596]"
"4974","Véloparc Bld de l'Océan","Boulevard de l'Océan","44220","44047","Couëron","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","2","7j/7j 24h/24h","Consigne","SEMITAN","02 40 99 48 48","[ 47.2135344604128 , -1.73922897453936]"
"4975","Véloparc Champ de Foire","Route du Champ de Foire","44860","44150","Saint-Aignan-de-Grandlieu","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne","SEMITAN","02 40 99 48 48","[ 47.1245474315963 , -1.61848015839512]"
"4977","Véloparc Esplanade des 4 vents","Esplanade des quatre Vents","44800","44162","Saint-Herblain","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne Cubike grise v1 (2 pl)Cubike v2 (2 pl)","SEMITAN","02 40 99 48 48","[ 47.2305164853772 , -1.61695006169611]"
"4978","Véloparc Sillon de Bretagne","Avenue de l'Angevinière","44800","44162","Saint-Herblain","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","6","7j/7j 24h/24h","Consigne Cubike grise","SEMITAN","02 40 99 48 48","[ 47.2455229741289 , -1.60828187303948]"
"4979","Véloparc Chapelle des Anges","Chemin Chapelle des Anges","44700","44114","Orvault","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","2","7j/7j 24h/24h","Consigne Cubike grise","SEMITAN","02 40 99 48 48","[ 47.2749820512704 , -1.63707835022723]"
"4980","Véloparc Aven","Rue de l'Aven","44240","44035","La-Chapelle-sur-Erdre","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","6","7j/7j 24h/24h","Consigne Cubike","SEMITAN","02 40 99 48 48","[ 47.3061938932973 , -1.56026174045074]"
"4981","Véloparc P+R Trentemoult","9B Quai Surcouf","44400","44143","Rezé","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne Mobilier municipal","SEMITAN","02 40 99 48 48","[ 47.1949288751876 , -1.5778955762071]"
"4982","Véloparc Château de Rezé","Place François Mitterrand","44400","44143","Rezé","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne Cubike grise, porte basculante","SEMITAN","02 40 99 48 48","[ 47.1844768472306 , -1.55951818972585]"
"4983","Véloparc piscine","2 rue de Tasmanie","44115","44009","Basse-Goulaine","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","2","7j/7j 24h/24h","Consigne Cubike","SEMITAN","02 40 99 48 48","[ 47.189732551506 , -1.47222231056134]"
"4984","Véloparc local jeunes","156 rue du Grignon","44115","44009","Basse-Goulaine","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","2","7j/7j 24h/24h","Consigne","SEMITAN","02 40 99 48 48","[ 47.2153004794875 , -1.47554377262673]"
"4985","Véloparc P+R Métro","361 route de Sainte-Luce","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","6","7j/7j 24h/24h","Consigne","SEMITAN","02 40 99 48 48","[ 47.2467679975239 , -1.49555909044625]"
"4986","Aire du bac de Basse Indre ","Esplanade Lucien le Loire","44610","44074","Indre","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Collectif abrité Mobestan","Pôle Loire Chezine","02 40 99 48 48","[ 47.1977362030633 , -1.67358956334145]"
"4987","Aire du jardin Haute Indre","Esplanade Alphone Guihot","44610","44074","Indre","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Collectif abrité Mobestan","Pôle Loire Chezine","02 40 99 48 48","[ 47.197117341128 , -1.67151989433438]"
"4988","Parking Commerce","17 Place du Commerce ","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","34","7j/7j 24h/24h","Collectif abrité","NGE","02 40 99 48 48","[ 47.213226237398 , -1.55778146773]"
"4989","Véloparc 5 Chemins","Giratoire des 5 chemins","44470","44026","Carquefou","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne Cubike v2","SEMITAN","02 40 99 48 48","[ 47.3045800510779 , -1.50374908654928]"
